date,ticker,open,high,low,close
2019/11/1,DOGE,0.002558,0.002645,0.00254,0.002585
2019/12/1,DOGE,0.002346,0.002351,0.002203,0.002295
2020/1/1,DOGE,0.002013,0.002106,0.001942,0.002019
2020/2/1,DOGE,0.002444,0.002456,0.002324,0.002437
2020/3/1,DOGE,0.002251,0.002363,0.002196,0.002313
2020/4/1,DOGE,0.001808,0.001849,0.001728,0.001785
2020/5/1,DOGE,0.002454,0.002597,0.002409,0.002477
2020/6/1,DOGE,0.002555,0.002616,0.002512,0.002606
2020/7/1,DOGE,0.002291,0.002418,0.002274,0.002311
2020/8/1,DOGE,0.003215,0.003813,0.003183,0.003629
2020/9/1,DOGE,0.003259,0.003374,0.003109,0.003247
2020/10/1,DOGE,0.00257,0.00273,0.00251,0.002648
2020/11/1,DOGE,0.002636,0.002639,0.002465,0.002603
2020/12/1,DOGE,0.003536,0.00358,0.003278,0.003361
2021/1/1,DOGE,0.004671,0.005511,0.004618,0.005426
2021/2/1,DOGE,0.03802,0.04373,0.03286,0.03471
2021/3/1,DOGE,0.04874,0.05175,0.04802,0.05048
2021/4/1,DOGE,0.05349,0.0702,0.05308,0.05941
2021/5/1,DOGE,0.3314,0.382,0.3287,0.3813
2021/6/1,DOGE,0.3247,0.3474,0.3123,0.3474
2021/7/1,DOGE,0.2501,0.259,0.2389,0.2467
2021/8/1,DOGE,0.2095,0.2178,0.2066,0.2102
2021/9/1,DOGE,0.2771,0.2924,0.2732,0.2902
2021/10/1,DOGE,0.2035,0.2249,0.2018,0.2244
2021/11/1,DOGE,0.278,0.2861,0.264,0.271
2021/12/1,DOGE,0.216685,0.219014,0.205938,0.208102
2022/1/1,DOGE,0.170017,0.173717,0.1697,0.172835
2022/2/1,DOGE,0.141571,0.144387,0.14087,0.142485
2022/3/1,DOGE,0.132453,0.138956,0.129752,0.13384
2022/4/1,DOGE,0.139242,0.142857,0.13224,0.141957
2022/5/1,DOGE,0.1311,0.136514,0.1241,0.1319
2022/6/1,DOGE,0.0860111,0.0893695,0.078993,0.0801478
2022/7/1,DOGE,0.0633838,0.0683248,0.0628345,0.0662071
